Brand,Processor,RAM (GB),Storage (GB),Camera (MP),Battery (mAh),Display Size (inches),Refresh Rate (Hz),5G Support,Operating System,Launch Year,Price ($)
Google,Snapdragon 778G,8,512,12,4500,6.4,90,1,Android,2020,928.0
Xiaomi,Snapdragon 8 Gen 2,4,128,12,6000,6.7,90,0,Android,2019,1031.6
Xiaomi,Kirin 9000,8,1024,12,3000,5.5,144,1,Android,2020,1075.6
OnePlus,Snapdragon 8 Gen 2,16,512,48,3000,7.0,144,1,Android,2021,998.0
Xiaomi,Kirin 9000,8,1024,64,3000,6.1,60,1,Android,2020,914.4
Oppo,Snapdragon 778G,6,128,108,4000,6.1,60,0,Android,2019,869.6
Xiaomi,A17 Bionic,4,512,200,4000,7.0,144,1,Android,2018,1089.6
Samsung,Dimensity 9200,8,128,108,4000,6.1,60,1,Android,2021,1028.4
OnePlus,Kirin 9000,8,1024,64,3000,6.7,120,1,Android,2023,1145.0
Oppo,Snapdragon 8 Gen 2,6,512,48,6000,5.5,120,0,Android,2022,1499.0
Sony,Snapdragon 8 Gen 2,4,256,108,5000,6.4,60,1,Android,2020,1068.0
Sony,Exynos 2200,12,256,12,4500,6.4,120,0,Android,2021,1027.2
Realme,A17 Bionic,16,512,48,4000,7.0,90,1,Android,2020,1073.2
Realme,A17 Bionic,12,512,108,4500,7.0,90,0,Android,2022,1512.0
Realme,Snapdragon 778G,12,64,64,6000,6.7,144,1,Android,2024,1406.0
Realme,Snapdragon 8 Gen 2,8,128,108,3000,6.1,144,1,Android,2018,810.0
Apple,A17 Bionic,8,512,48,4000,7.0,60,1,iOS,2022,1764.0
Sony,Exynos 2200,16,128,108,4000,6.7,90,0,Android,2022,1185.5
OnePlus,Snapdragon 8 Gen 2,12,64,64,5000,7.0,60,1,Android,2018,1132.0
Realme,Snapdragon 778G,4,512,48,6000,6.4,90,1,Android,2020,1118.8
OnePlus,Exynos 2200,12,128,12,3000,7.0,60,1,Android,2023,919.5
Samsung,Snapdragon 778G,16,256,64,6000,6.7,90,0,Android,2019,1173.2
Apple,Snapdragon 778G,8,1024,64,5000,7.0,144,0,iOS,2020,1762.8
Oppo,Dimensity 9200,12,64,108,4500,6.1,90,1,Android,2023,1206.0
OnePlus,Kirin 9000,4,512,64,3000,5.5,90,1,Android,2020,792.4
Samsung,Snapdragon 778G,6,64,48,4000,5.5,144,1,Android,2024,1111.5
Samsung,Snapdragon 8 Gen 2,16,1024,200,4000,6.1,144,0,Android,2023,1760.0
Sony,Exynos 2200,12,512,108,6000,6.7,144,1,Android,2021,1466.0
OnePlus,A17 Bionic,6,64,200,4000,6.7,90,1,Android,2022,1142.5
Google,Dimensity 9200,12,256,48,4000,6.4,120,1,Android,2018,993.6
Realme,Exynos 2200,16,64,200,4000,7.0,144,0,Android,2018,1200.4
Motorola,Snapdragon 778G,4,128,108,3000,5.5,90,0,Android,2024,1094.0
Motorola,Dimensity 9200,4,1024,108,4000,7.0,60,1,Android,2021,1092.4
Sony,Snapdragon 778G,6,128,48,3000,6.7,120,1,Android,2019,793.6
Apple,Snapdragon 778G,16,1024,64,6000,6.7,120,0,iOS,2019,2035.8
Oppo,Dimensity 9200,16,256,200,6000,6.4,90,1,Android,2018,1461.2
OnePlus,Snapdragon 778G,4,256,108,4500,6.1,90,1,Android,2022,1151.0
Oppo,Snapdragon 778G,12,64,48,4500,6.7,144,1,Android,2020,948.8
OnePlus,Exynos 2200,8,512,200,5000,6.1,144,0,Android,2018,1284.4
OnePlus,Snapdragon 8 Gen 2,16,1024,64,4000,6.4,90,1,Android,2022,1387.0
Vivo,Snapdragon 778G,16,512,200,6000,6.4,144,0,Android,2020,1438.8
Apple,Exynos 2200,16,128,200,3000,7.0,60,0,iOS,2022,1635.0
Realme,Snapdragon 778G,16,256,12,6000,7.0,60,0,Android,2021,1241.6
Samsung,Dimensity 9200,8,512,108,6000,7.0,90,1,Android,2021,1227.6
Motorola,Exynos 2200,6,64,64,4000,6.1,60,0,Android,2018,735.2
Xiaomi,Kirin 9000,12,512,200,3000,6.4,90,0,Android,2023,1302.0
Vivo,Dimensity 9200,12,1024,200,4000,6.4,120,0,Android,2019,1127.6
Xiaomi,Exynos 2200,8,64,48,4500,6.7,120,0,Android,2024,1187.0
Samsung,Exynos 2200,8,512,64,5000,7.0,60,0,Android,2019,1089.6
Realme,Dimensity 9200,8,512,64,3000,6.4,90,1,Android,2023,1231.5
Motorola,Snapdragon 778G,8,256,48,6000,5.5,90,0,Android,2021,1175.6
Apple,Dimensity 9200,12,64,200,4500,7.0,120,0,iOS,2018,1724.4
OnePlus,A17 Bionic,8,256,200,6000,6.7,144,0,Android,2021,1416.4
Xiaomi,A17 Bionic,8,1024,64,6000,6.7,120,1,Android,2018,1324.0
Apple,Dimensity 9200,6,512,12,5000,6.1,120,0,iOS,2024,2049.75
Google,A17 Bionic,16,64,108,3000,6.4,90,0,Android,2019,948.0
Samsung,Snapdragon 778G,12,64,108,6000,6.4,120,1,Android,2022,1572.5
Motorola,Kirin 9000,12,128,64,4500,5.5,120,1,Android,2019,960.4
Samsung,Dimensity 9200,12,256,108,5000,7.0,120,1,Android,2024,1495.5
Xiaomi,Exynos 2200,16,256,48,5000,6.1,144,0,Android,2024,1531.0
Oppo,Dimensity 9200,8,512,12,4000,7.0,120,1,Android,2020,940.8
Oppo,Dimensity 9200,4,128,108,6000,6.7,60,1,Android,2021,1248.8
Realme,Dimensity 9200,4,64,64,5000,6.1,60,0,Android,2021,1058.0
Vivo,Snapdragon 778G,6,256,48,4500,6.7,144,1,Android,2020,1080.8
Xiaomi,Dimensity 9200,12,256,108,4500,5.5,144,0,Android,2024,1320.5
Vivo,Snapdragon 778G,16,128,64,4000,6.1,60,1,Android,2020,947.2
Realme,Kirin 9000,4,64,200,4500,6.4,120,1,Android,2023,1236.5
Oppo,Exynos 2200,4,64,48,5000,5.5,60,1,Android,2024,1139.5
Realme,Snapdragon 8 Gen 2,8,512,64,3000,6.1,60,0,Android,2021,792.8
Google,Exynos 2200,8,512,48,4500,7.0,90,0,Android,2024,1400.0
Apple,A17 Bionic,4,1024,48,6000,6.4,90,0,iOS,2021,1858.2
Motorola,Kirin 9000,6,512,108,4000,6.4,60,1,Android,2021,1037.6
Google,A17 Bionic,4,1024,12,4000,6.4,90,0,Android,2018,1004.4
Realme,Snapdragon 8 Gen 2,6,1024,12,5000,6.1,120,1,Android,2024,1454.0
OnePlus,Snapdragon 778G,12,512,64,4000,6.4,144,1,Android,2021,1183.6
Samsung,Kirin 9000,8,1024,108,5000,7.0,90,1,Android,2021,1377.6
Apple,Dimensity 9200,6,64,64,4500,6.4,120,0,iOS,2024,1640.25
Sony,Kirin 9000,16,1024,12,3000,6.1,60,0,Android,2019,1016.0
OnePlus,Snapdragon 8 Gen 2,16,64,64,4500,6.7,144,1,Android,2021,998.0
Vivo,A17 Bionic,6,128,200,3000,5.5,60,0,Android,2020,894.0
Xiaomi,Snapdragon 8 Gen 2,4,1024,12,4500,7.0,90,1,Android,2021,1094.0
Google,Exynos 2200,4,512,48,4500,7.0,90,0,Android,2018,1058.4
Samsung,A17 Bionic,6,1024,48,4500,5.5,144,1,Android,2019,1157.6
Google,Dimensity 9200,8,256,200,5000,6.4,144,1,Android,2021,1346.8
Realme,Snapdragon 8 Gen 2,12,512,12,5000,7.0,60,1,Android,2024,1419.5
Google,A17 Bionic,8,1024,108,4000,6.1,60,0,Android,2018,1197.2
Realme,Snapdragon 8 Gen 2,4,1024,48,5000,6.4,90,0,Android,2018,1236.4
OnePlus,Snapdragon 8 Gen 2,6,1024,48,3000,7.0,60,0,Android,2018,987.2
Xiaomi,Kirin 9000,12,512,48,6000,5.5,90,1,Android,2022,1527.0
Google,Kirin 9000,8,1024,64,3000,6.4,60,0,Android,2024,1303.0
Oppo,Exynos 2200,4,256,108,4500,6.4,144,0,Android,2019,1014.8
OnePlus,Kirin 9000,8,1024,64,6000,6.7,120,0,Android,2023,1805.5
Sony,Kirin 9000,8,256,108,3000,5.5,120,0,Android,2018,891.6
Realme,Kirin 9000,4,64,12,4500,7.0,60,0,Android,2021,781.6
Oppo,Snapdragon 8 Gen 2,12,128,108,4500,6.7,144,1,Android,2022,1421.0
Samsung,Snapdragon 778G,16,256,200,4500,6.1,60,1,Android,2022,1599.5
OnePlus,Kirin 9000,16,512,48,5000,6.7,90,0,Android,2019,1125.6
Vivo,Dimensity 9200,12,256,64,4500,5.5,90,1,Android,2024,1235.0
Google,A17 Bionic,8,1024,64,5000,6.4,60,1,Android,2024,1451.0
Apple,A17 Bionic,8,128,12,5000,5.5,144,1,iOS,2020,1720.8
Motorola,Snapdragon 778G,6,256,64,6000,6.1,144,1,Android,2022,1573.0
Apple,Exynos 2200,12,512,48,6000,6.4,144,0,iOS,2020,1933.8
Apple,Kirin 9000,16,128,12,3000,6.1,120,0,iOS,2019,1176.0
Vivo,Snapdragon 778G,4,1024,48,4500,6.1,144,1,Android,2023,1487.0
Motorola,Dimensity 9200,8,128,12,6000,6.7,120,0,Android,2023,1452.0
Realme,A17 Bionic,8,64,48,4000,7.0,120,1,Android,2019,1003.6
Oppo,Snapdragon 778G,8,64,108,4000,7.0,144,1,Android,2023,1164.0
Apple,Kirin 9000,4,64,48,4500,6.4,120,1,iOS,2021,1519.8
Sony,Kirin 9000,4,256,108,4000,6.7,120,1,Android,2024,1334.0
Sony,Snapdragon 778G,8,1024,200,4000,5.5,60,1,Android,2019,1174.0
Apple,Kirin 9000,16,1024,12,3000,5.5,90,0,iOS,2020,1317.0
OnePlus,A17 Bionic,6,64,64,4000,6.4,90,1,Android,2024,1159.5
Realme,A17 Bionic,12,256,200,5000,6.7,120,1,Android,2019,1341.6
Xiaomi,Exynos 2200,12,1024,48,5000,5.5,90,1,Android,2022,1624.0
Motorola,Dimensity 9200,8,128,12,6000,7.0,120,0,Android,2024,1461.0
Xiaomi,Snapdragon 8 Gen 2,6,64,12,4000,7.0,60,1,Android,2021,739.2
Oppo,Snapdragon 8 Gen 2,8,256,48,5000,6.7,90,1,Android,2023,1249.5
Sony,Exynos 2200,4,64,48,4500,7.0,120,0,Android,2019,895.6
Apple,A17 Bionic,8,256,108,5000,7.0,60,0,iOS,2023,1749.75
Realme,Kirin 9000,8,128,64,5000,6.4,60,0,Android,2019,930.4
Realme,Exynos 2200,12,512,12,6000,6.7,144,0,Android,2020,1211.2
OnePlus,Exynos 2200,12,1024,108,6000,6.1,90,0,Android,2018,1466.4
Oppo,Dimensity 9200,8,512,12,4500,6.1,60,1,Android,2024,1309.0
Google,Snapdragon 8 Gen 2,8,128,48,6000,7.0,144,1,Android,2022,1396.0
Motorola,Snapdragon 8 Gen 2,6,512,64,3000,6.1,120,0,Android,2019,815.6
Xiaomi,Snapdragon 8 Gen 2,4,64,200,3000,6.4,144,0,Android,2021,958.0
Vivo,Kirin 9000,6,64,12,5000,5.5,90,0,Android,2023,1032.0
Sony,Dimensity 9200,4,256,64,3000,7.0,144,0,Android,2018,805.2
Sony,Kirin 9000,6,512,64,3000,5.5,60,0,Android,2019,791.6
Vivo,Dimensity 9200,12,64,200,4000,5.5,120,0,Android,2020,1015.6
OnePlus,A17 Bionic,12,64,12,4000,7.0,120,0,Android,2019,875.2
Vivo,A17 Bionic,8,128,12,4500,6.1,90,0,Android,2019,880.0
Google,Snapdragon 8 Gen 2,6,64,200,4000,6.4,144,0,Android,2018,930.0
Motorola,Snapdragon 778G,12,512,48,3000,5.5,120,0,Android,2018,936.8
Vivo,Dimensity 9200,8,64,108,4500,6.7,120,0,Android,2019,1102.4
Apple,Kirin 9000,4,128,64,4500,7.0,144,1,iOS,2021,1537.8
Motorola,Dimensity 9200,6,256,64,4000,7.0,60,1,Android,2019,825.2
Vivo,Kirin 9000,6,64,64,3000,5.5,144,1,Android,2020,748.0
OnePlus,Kirin 9000,4,1024,200,6000,5.5,144,1,Android,2019,1367.6
Apple,Exynos 2200,4,1024,48,6000,6.4,120,0,iOS,2023,2205.0
OnePlus,Exynos 2200,8,256,48,4500,7.0,60,1,Android,2023,1314.5
Samsung,Snapdragon 778G,4,512,108,4500,6.1,90,0,Android,2022,1413.5
Samsung,Snapdragon 778G,12,1024,64,5000,6.4,144,0,Android,2020,1164.8
OnePlus,Snapdragon 8 Gen 2,6,64,12,3000,6.4,144,1,Android,2019,779.6
Oppo,Exynos 2200,12,128,108,6000,6.1,120,0,Android,2022,1431.0
Xiaomi,Exynos 2200,6,64,64,6000,6.7,90,0,Android,2020,1109.2
Samsung,Kirin 9000,16,128,48,4000,7.0,120,0,Android,2023,1099.5
Sony,Exynos 2200,8,64,12,6000,6.7,144,1,Android,2024,1559.5
Oppo,Dimensity 9200,6,256,200,4000,6.4,60,1,Android,2020,914.4
Vivo,Snapdragon 8 Gen 2,16,128,48,3000,7.0,144,1,Android,2021,837.2
Samsung,Kirin 9000,4,256,48,5000,6.1,90,0,Android,2024,1117.0
OnePlus,Exynos 2200,16,128,200,5000,6.7,144,0,Android,2018,1244.4
Sony,A17 Bionic,6,1024,48,4500,6.7,120,0,Android,2024,1397.0
Vivo,Exynos 2200,8,64,12,3000,5.5,144,1,Android,2018,816.4
Samsung,A17 Bionic,8,256,200,3000,6.7,60,1,Android,2019,817.2
Samsung,A17 Bionic,12,1024,12,4000,7.0,144,1,Android,2022,1429.0
Realme,Dimensity 9200,12,256,48,4500,7.0,60,1,Android,2018,1011.6
Apple,Dimensity 9200,4,128,200,4000,6.7,60,1,iOS,2021,1463.4
Motorola,Dimensity 9200,8,512,108,3000,6.4,90,0,Android,2021,950.4
Google,Snapdragon 8 Gen 2,8,64,12,6000,6.4,90,0,Android,2024,1491.0
OnePlus,Exynos 2200,16,512,108,4000,6.1,144,1,Android,2020,1195.2
Sony,Snapdragon 8 Gen 2,16,256,64,3000,6.7,60,0,Android,2019,863.6
OnePlus,Snapdragon 8 Gen 2,4,256,12,3000,7.0,90,1,Android,2021,701.6
Motorola,Kirin 9000,8,64,64,3000,6.1,90,0,Android,2024,997.5
Motorola,Exynos 2200,4,64,12,6000,6.7,120,1,Android,2018,1165.2
Vivo,Snapdragon 8 Gen 2,16,1024,200,4500,7.0,60,1,Android,2023,1789.5
Sony,Snapdragon 778G,4,128,200,4000,7.0,60,0,Android,2020,838.4
Xiaomi,Exynos 2200,12,128,108,3000,6.7,90,1,Android,2023,1217.5
Samsung,Exynos 2200,4,1024,64,6000,6.4,120,0,Android,2021,1397.6
Xiaomi,Dimensity 9200,12,128,108,3000,6.7,120,1,Android,2023,1017.5
Xiaomi,Kirin 9000,8,64,48,4000,6.4,120,0,Android,2022,1087.0
Samsung,A17 Bionic,16,128,200,3000,5.5,60,1,Android,2022,1285.5
Realme,Snapdragon 8 Gen 2,8,128,48,4500,6.4,144,0,Android,2019,910.8
Sony,Kirin 9000,16,1024,64,4500,6.4,120,1,Android,2021,1284.8
Xiaomi,Snapdragon 778G,16,64,12,4000,7.0,120,1,Android,2023,1267.0
Oppo,Dimensity 9200,12,1024,12,6000,7.0,144,1,Android,2022,1663.0
Motorola,Snapdragon 8 Gen 2,12,64,48,6000,5.5,120,1,Android,2019,1092.4
Sony,Snapdragon 778G,4,512,64,4000,5.5,60,1,Android,2024,1091.0
Motorola,Kirin 9000,8,1024,108,5000,6.7,120,1,Android,2019,1196.0
Apple,A17 Bionic,8,512,12,6000,6.7,90,0,iOS,2023,2353.5
Google,Kirin 9000,6,512,64,4500,6.4,60,1,Android,2022,1434.0
Sony,Dimensity 9200,12,512,108,4500,6.4,120,1,Android,2022,1593.0
Xiaomi,A17 Bionic,16,64,64,4000,5.5,120,1,Android,2018,889.6
Realme,Kirin 9000,16,1024,108,3000,6.4,90,0,Android,2021,1112.4
OnePlus,Kirin 9000,6,128,200,4000,7.0,144,1,Android,2022,1211.5
Xiaomi,Kirin 9000,16,1024,200,6000,6.1,144,0,Android,2022,1820.0
Vivo,Kirin 9000,16,128,64,4000,6.7,90,1,Android,2018,892.4
Xiaomi,Exynos 2200,12,1024,200,4500,7.0,90,0,Android,2019,1188.8
Apple,Kirin 9000,16,512,12,4000,5.5,144,0,iOS,2023,1928.25
Google,Snapdragon 8 Gen 2,8,512,48,4000,6.1,90,1,Android,2021,1097.2
Realme,Dimensity 9200,16,512,64,5000,6.1,60,1,Android,2019,1108.8
Motorola,Exynos 2200,12,64,200,4500,5.5,60,0,Android,2019,1046.8
Google,Snapdragon 8 Gen 2,16,1024,64,4000,6.7,144,0,Android,2019,1267.2
Vivo,Snapdragon 778G,16,128,48,5000,7.0,120,1,Android,2020,1153.2
OnePlus,Snapdragon 8 Gen 2,4,256,200,4500,6.4,90,1,Android,2019,1041.2
Samsung,Dimensity 9200,8,512,48,3000,6.1,90,0,Android,2020,850.4
Motorola,Snapdragon 778G,16,64,64,4000,6.7,144,0,Android,2022,1359.0
Realme,Dimensity 9200,4,64,200,4500,6.7,120,0,Android,2023,1174.5
Apple,A17 Bionic,4,512,64,5000,7.0,120,0,iOS,2019,1510.8
Google,Snapdragon 8 Gen 2,4,1024,200,5000,6.4,90,1,Android,2018,1230.0
OnePlus,Snapdragon 778G,8,64,64,4000,7.0,144,0,Android,2021,908.0
Oppo,Snapdragon 778G,4,64,64,5000,7.0,90,0,Android,2020,931.2
Xiaomi,Kirin 9000,16,1024,12,4000,7.0,120,0,Android,2021,1220.0
Xiaomi,Kirin 9000,4,64,64,5000,6.1,90,0,Android,2020,877.2
Samsung,Kirin 9000,6,128,48,5000,7.0,60,1,Android,2023,1167.0
OnePlus,A17 Bionic,8,1024,200,4000,7.0,144,0,Android,2023,1596.0
OnePlus,A17 Bionic,6,64,108,4000,7.0,144,1,Android,2022,1324.0
Apple,Snapdragon 778G,8,512,108,6000,6.1,90,0,iOS,2022,2504.25
Motorola,Kirin 9000,12,64,200,4000,6.4,144,0,Android,2020,1033.6
Google,Exynos 2200,8,64,12,6000,6.1,144,0,Android,2022,1374.0
Samsung,Snapdragon 8 Gen 2,8,128,200,4000,5.5,90,1,Android,2019,1091.2
Realme,A17 Bionic,12,256,200,4500,6.4,144,1,Android,2022,1507.0
Vivo,A17 Bionic,8,1024,48,6000,6.1,120,1,Android,2021,1247.6
Oppo,Exynos 2200,16,256,200,6000,6.7,60,1,Android,2023,1574.0
OnePlus,Exynos 2200,4,512,12,4000,5.5,120,0,Android,2020,903.6
Samsung,A17 Bionic,16,256,200,5000,5.5,144,0,Android,2022,1438.5
Oppo,Kirin 9000,8,256,108,4000,6.7,144,0,Android,2024,1291.5
Motorola,Kirin 9000,12,128,48,5000,7.0,144,0,Android,2020,1097.2
Sony,Kirin 9000,4,256,108,4500,5.5,60,1,Android,2019,985.2
Motorola,Dimensity 9200,4,64,200,4500,5.5,120,0,Android,2023,1348.5
Samsung,Dimensity 9200,16,512,48,5000,6.1,60,0,Android,2018,1108.0
Xiaomi,Kirin 9000,4,512,108,3000,6.4,144,0,Android,2018,974.0
Xiaomi,Kirin 9000,6,128,108,3000,6.1,90,0,Android,2022,875.0
Oppo,Dimensity 9200,6,64,48,3000,6.1,144,1,Android,2020,905.6
Xiaomi,Kirin 9000,6,64,108,6000,5.5,90,1,Android,2024,1415.5
OnePlus,Snapdragon 8 Gen 2,16,512,108,4000,6.7,144,1,Android,2019,1203.2
Apple,Dimensity 9200,8,1024,48,3000,6.4,60,0,iOS,2021,1241.4
Realme,Dimensity 9200,8,128,108,3000,6.1,60,1,Android,2023,992.5
Google,Exynos 2200,4,64,64,3000,5.5,144,0,Android,2022,1072.5
Oppo,Kirin 9000,12,512,48,3000,6.4,60,0,Android,2019,870.8
Motorola,Kirin 9000,4,1024,12,4000,6.1,90,1,Android,2018,1016.4
Motorola,Dimensity 9200,6,1024,48,4000,5.5,144,0,Android,2020,1204.8
Motorola,Dimensity 9200,6,1024,48,3000,7.0,90,1,Android,2024,1248.5
Vivo,Kirin 9000,12,1024,12,4000,7.0,144,1,Android,2021,1165.2
Oppo,Snapdragon 778G,12,1024,48,4500,6.1,144,1,Android,2020,1173.6
Oppo,Dimensity 9200,6,512,108,3000,6.7,144,1,Android,2018,848.4
Apple,Kirin 9000,16,64,48,5000,6.7,144,1,iOS,2022,2328.75
Samsung,Kirin 9000,12,128,64,4500,6.1,60,0,Android,2019,1002.4
Realme,Exynos 2200,6,1024,64,4000,5.5,90,1,Android,2021,982.8
Motorola,Snapdragon 8 Gen 2,16,128,48,4500,6.1,60,0,Android,2024,1227.5
Realme,Snapdragon 8 Gen 2,12,128,108,4500,7.0,60,0,Android,2020,1005.2
Motorola,Kirin 9000,8,256,108,4000,6.4,120,1,Android,2021,988.4
Oppo,Snapdragon 8 Gen 2,4,1024,64,6000,6.4,120,0,Android,2022,1709.0
Xiaomi,Snapdragon 778G,12,128,108,6000,6.4,144,0,Android,2020,1204.4
Apple,Dimensity 9200,4,512,64,6000,6.4,90,1,iOS,2023,2322.0
Motorola,Snapdragon 778G,4,128,200,4000,6.7,90,0,Android,2020,898.8
Samsung,Dimensity 9200,6,512,64,5000,7.0,60,1,Android,2018,988.8
Motorola,Snapdragon 778G,4,64,64,3000,5.5,120,1,Android,2022,1012.0
Realme,Kirin 9000,16,512,108,3000,7.0,120,1,Android,2022,1253.0
Xiaomi,A17 Bionic,4,256,108,6000,5.5,60,1,Android,2020,1198.4
Apple,Kirin 9000,4,128,200,6000,5.5,60,0,iOS,2021,1602.6
Xiaomi,Snapdragon 778G,4,512,64,5000,6.7,90,0,Android,2024,1313.5
Google,Snapdragon 8 Gen 2,12,512,48,6000,7.0,144,1,Android,2021,1425.2
OnePlus,Kirin 9000,6,256,108,3000,5.5,90,1,Android,2021,826.4
Google,Kirin 9000,12,1024,64,4500,6.4,90,1,Android,2022,1479.0
OnePlus,Kirin 9000,8,128,48,4000,6.7,120,1,Android,2019,852.4
Apple,Exynos 2200,6,64,108,3000,6.1,90,0,iOS,2024,1444.5
Sony,Snapdragon 778G,6,128,200,5000,7.0,90,1,Android,2024,1517.5
Xiaomi,Snapdragon 8 Gen 2,16,1024,200,4500,6.1,60,0,Android,2019,1179.2
Oppo,Snapdragon 8 Gen 2,12,256,48,4500,6.1,90,1,Android,2024,1177.0
Oppo,Exynos 2200,8,128,200,3000,5.5,120,1,Android,2022,1116.0
Xiaomi,Exynos 2200,12,64,108,4000,7.0,60,1,Android,2024,1169.5
Vivo,A17 Bionic,4,128,200,4500,6.1,90,1,Android,2023,1291.0
Motorola,Snapdragon 778G,16,128,108,3000,6.7,144,1,Android,2024,1254.5
Realme,A17 Bionic,6,512,12,6000,5.5,120,0,Android,2021,1227.6
Vivo,Snapdragon 778G,8,64,12,5000,6.4,60,1,Android,2020,944.8
Samsung,Kirin 9000,8,1024,48,6000,6.7,90,0,Android,2021,1347.2
Motorola,Kirin 9000,16,256,64,5000,6.7,90,0,Android,2022,1492.5
Realme,Dimensity 9200,16,1024,108,4000,6.4,120,0,Android,2023,1592.0
Realme,Kirin 9000,8,128,12,4500,5.5,90,1,Android,2018,976.0
Apple,Snapdragon 8 Gen 2,12,1024,200,4500,6.7,144,1,iOS,2023,2418.75
Samsung,Snapdragon 8 Gen 2,4,128,108,5000,5.5,60,1,Android,2022,1218.5
Xiaomi,A17 Bionic,12,256,48,6000,7.0,144,0,Android,2020,1244.4
Realme,Snapdragon 778G,12,1024,48,4000,6.1,60,0,Android,2024,1371.0
OnePlus,Dimensity 9200,4,64,12,4000,6.1,120,0,Android,2023,952.0
Xiaomi,A17 Bionic,6,1024,48,4000,6.1,90,0,Android,2019,1013.6
Apple,Snapdragon 778G,16,1024,12,5000,7.0,90,0,iOS,2024,2111.25
Google,Snapdragon 778G,16,128,64,4000,6.7,120,1,Android,2022,1282.0
Google,A17 Bionic,8,64,200,4500,6.7,120,1,Android,2021,1225.6
OnePlus,A17 Bionic,16,256,64,4000,7.0,144,0,Android,2018,979.6
Realme,Dimensity 9200,16,1024,64,4000,6.1,144,1,Android,2021,1129.2
Google,Exynos 2200,6,1024,108,4500,6.7,144,0,Android,2023,1433.5
OnePlus,A17 Bionic,16,128,108,3000,6.7,90,1,Android,2018,842.0
Apple,Snapdragon 8 Gen 2,16,512,64,3000,7.0,60,0,iOS,2018,1427.4
Oppo,Kirin 9000,16,1024,108,4000,6.7,60,0,Android,2024,1502.0
Apple,Kirin 9000,4,256,48,5000,6.1,120,1,iOS,2018,1536.6
Xiaomi,Exynos 2200,4,256,64,4000,6.7,60,1,Android,2022,980.0
Oppo,Snapdragon 8 Gen 2,4,128,12,4000,6.1,90,1,Android,2019,774.0
Samsung,Snapdragon 778G,16,1024,48,5000,6.4,120,0,Android,2020,1358.4
Realme,Dimensity 9200,8,64,12,3000,6.4,90,1,Android,2022,969.5
Realme,Dimensity 9200,16,128,108,3000,5.5,144,1,Android,2018,842.0
OnePlus,Kirin 9000,6,128,64,3000,6.7,90,1,Android,2018,792.0
Xiaomi,Dimensity 9200,4,64,64,3000,6.4,90,0,Android,2024,895.0
Xiaomi,Snapdragon 8 Gen 2,12,256,108,4500,6.4,120,0,Android,2021,1136.0
Motorola,Snapdragon 8 Gen 2,4,1024,48,4000,6.7,60,0,Android,2020,891.6
Samsung,Kirin 9000,6,512,48,4500,7.0,60,0,Android,2018,1042.0
Vivo,Exynos 2200,6,256,108,6000,7.0,120,0,Android,2021,1176.4
Samsung,Kirin 9000,8,256,108,4000,5.5,120,1,Android,2023,1387.0
Samsung,Snapdragon 8 Gen 2,12,512,108,5000,6.4,144,1,Android,2024,1418.0
Motorola,Snapdragon 778G,16,1024,108,4000,6.7,120,0,Android,2018,1100.0
OnePlus,Snapdragon 8 Gen 2,6,128,48,5000,5.5,144,1,Android,2018,969.6
OnePlus,Exynos 2200,16,128,64,4500,6.1,60,0,Android,2019,1012.0
Realme,Snapdragon 8 Gen 2,6,64,64,5000,7.0,120,0,Android,2024,1380.5
Oppo,Dimensity 9200,8,512,108,6000,6.1,60,0,Android,2022,1607.0
Apple,Dimensity 9200,6,256,12,6000,6.1,120,1,iOS,2020,1587.6
Vivo,Dimensity 9200,8,128,108,4000,6.7,90,1,Android,2021,1084.8
Realme,Snapdragon 8 Gen 2,6,128,12,4500,6.1,90,1,Android,2024,1149.0
Sony,Dimensity 9200,12,1024,12,4500,6.1,90,1,Android,2023,1565.5
Samsung,Snapdragon 778G,8,128,108,4000,6.1,120,1,Android,2020,1024.8
Xiaomi,Exynos 2200,16,64,12,3000,6.1,60,0,Android,2019,692.0
OnePlus,Kirin 9000,6,128,108,6000,6.1,90,0,Android,2023,1320.0
Apple,A17 Bionic,8,1024,200,3000,6.4,120,1,iOS,2018,1711.2
Sony,Exynos 2200,12,512,108,4000,6.7,144,1,Android,2023,1263.5
Oppo,Exynos 2200,8,256,200,3000,6.4,90,0,Android,2020,861.6
Sony,Dimensity 9200,16,128,108,4000,5.5,90,1,Android,2023,1180.0
Apple,Snapdragon 778G,16,1024,108,6000,6.1,120,1,iOS,2022,2805.75
Realme,Dimensity 9200,16,1024,108,4000,6.4,144,1,Android,2019,1337.2
Xiaomi,Snapdragon 8 Gen 2,8,128,64,6000,5.5,90,0,Android,2019,1087.6
Samsung,Snapdragon 778G,8,128,108,3000,6.7,60,0,Android,2021,771.6
Apple,Exynos 2200,6,128,48,4500,6.7,90,1,iOS,2019,1450.2
Xiaomi,A17 Bionic,4,256,48,5000,6.4,90,1,Android,2019,915.2
Samsung,Exynos 2200,6,512,12,5000,6.7,144,1,Android,2020,1147.6
Realme,A17 Bionic,8,128,64,3000,5.5,144,0,Android,2018,746.8
Xiaomi,A17 Bionic,4,512,48,4500,6.1,90,0,Android,2019,880.8
Vivo,Exynos 2200,6,64,12,5000,6.7,144,1,Android,2023,1185.5
Samsung,Snapdragon 778G,12,128,48,4500,6.7,120,0,Android,2022,1126.5
